2026/06/16 22:52:41 db connected + schema ready
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> agora/internal/server.(*Server).Routes.func1 (4 handlers)
[GIN-debug] GET    /api/tools                --> agora/internal/server.(*Server).listTools-fm (4 handlers)
[GIN-debug] GET    /api/agents               --> agora/internal/server.(*Server).listAgents-fm (4 handlers)
[GIN-debug] POST   /api/agents               --> agora/internal/server.(*Server).createAgent-fm (4 handlers)
[GIN-debug] GET    /api/channels             --> agora/internal/server.(*Server).listChannels-fm (4 handlers)
[GIN-debug] POST   /api/channels             --> agora/internal/server.(*Server).createChannel-fm (4 handlers)
[GIN-debug] GET    /api/channels/:id/messages --> agora/internal/server.(*Server).listMessages-fm (4 handlers)
[GIN-debug] GET    /api/documents            --> agora/internal/server.(*Server).listDocuments-fm (4 handlers)
[GIN-debug] POST   /api/documents            --> agora/internal/server.(*Server).uploadDocument-fm (4 handlers)
[GIN-debug] GET    /api/org/key              --> agora/internal/server.(*Server).keyStatus-fm (4 handlers)
[GIN-debug] PUT    /api/org/key              --> agora/internal/server.(*Server).setKey-fm (4 handlers)
[GIN-debug] POST   /api/chat/stream          --> agora/internal/server.(*Server).chatStream-fm (4 handlers)
[GIN-debug] POST   /api/auth/claude/start    --> agora/internal/server.(*Server).claudeStart-fm (4 handlers)
[GIN-debug] POST   /api/auth/claude/finish   --> agora/internal/server.(*Server).claudeFinish-fm (4 handlers)
2026/06/16 22:52:41 listening on :8000
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8000
[GIN] 2026/06/16 - 22:52:42 | 200 |   5.04ms |             ::1 | GET      "/api/org/key"
[GIN] 2026/06/16 - 22:53:01 | 200 | 524.042µs |             ::1 | GET      "/health"
[GIN] 2026/06/16 - 22:53:01 | 200 |    300µs |             ::1 | POST     "/api/auth/claude/start"
[GIN] 2026/06/17 - 00:02:46 | 200 |  37.07ms |             ::1 | GET      "/api/agents"
[GIN] 2026/06/17 - 00:02:46 | 200 |  37.38ms |             ::1 | GET      "/api/channels"
[GIN] 2026/06/17 - 00:02:46 | 200 | 428.875µs |             ::1 | GET      "/api/agents"
[GIN] 2026/06/17 - 00:02:46 | 200 | 427.958µs |             ::1 | GET      "/api/channels"
[GIN] 2026/06/17 - 00:02:46 | 200 |   5.19ms |             ::1 | GET      "/api/channels/ba9463a8-2ed6-4b61-bb2e-bc0ab46fbbec/messages"
[GIN] 2026/06/17 - 00:02:56 | 204 |  6.625µs |             ::1 | OPTIONS  "/api/documents"
[GIN] 2026/06/17 - 00:02:56 | 204 |  5.458µs |             ::1 | OPTIONS  "/api/documents"
[GIN] 2026/06/17 - 00:02:56 | 200 |   2.61ms |             ::1 | GET      "/api/documents"
[GIN] 2026/06/17 - 00:02:56 | 200 | 428.084µs |             ::1 | GET      "/api/documents"
[GIN] 2026/06/17 - 00:02:59 | 200 |   3.91ms |             ::1 | GET      "/api/channels"
[GIN] 2026/06/17 - 00:02:59 | 200 | 565.333µs |             ::1 | GET      "/api/channels"
[GIN] 2026/06/17 - 00:02:59 | 200 |   3.38ms |             ::1 | GET      "/api/agents"
[GIN] 2026/06/17 - 00:02:59 | 200 |   1.13ms |             ::1 | GET      "/api/agents"
[GIN] 2026/06/17 - 00:02:59 | 200 |   2.55ms |             ::1 | GET      "/api/channels/ba9463a8-2ed6-4b61-bb2e-bc0ab46fbbec/messages"
[GIN] 2026/06/17 - 12:12:58 | 204 |   4.37ms |             ::1 | OPTIONS  "/api/channels"
[GIN] 2026/06/17 - 12:12:58 | 204 |   4.37ms |             ::1 | OPTIONS  "/api/agents"
[GIN] 2026/06/17 - 12:12:58 | 200 |   38.6ms |             ::1 | GET      "/api/channels"
[GIN] 2026/06/17 - 12:12:58 | 200 |  39.29ms |             ::1 | GET      "/api/agents"
[GIN] 2026/06/17 - 12:17:32 | 204 | 95.917µs |             ::1 | OPTIONS  "/api/channels"
[GIN] 2026/06/17 - 12:17:32 | 204 | 706.209µs |             ::1 | OPTIONS  "/api/org/key"
[GIN] 2026/06/17 - 12:17:32 | 204 | 264.417µs |             ::1 | OPTIONS  "/api/agents"
[GIN] 2026/06/17 - 12:17:32 | 200 |  12.65ms |             ::1 | GET      "/api/channels"
[GIN] 2026/06/17 - 12:17:32 | 200 |  15.14ms |             ::1 | GET      "/api/org/key"
[GIN] 2026/06/17 - 12:17:32 | 204 | 15.542µs |             ::1 | OPTIONS  "/api/channels/ba9463a8-2ed6-4b61-bb2e-bc0ab46fbbec/messages"
[GIN] 2026/06/17 - 12:17:32 | 200 |   2.96ms |             ::1 | GET      "/api/channels/ba9463a8-2ed6-4b61-bb2e-bc0ab46fbbec/messages"
[GIN] 2026/06/17 - 12:17:32 | 200 |  27.13ms |             ::1 | GET      "/api/agents"
[GIN] 2026/06/17 - 12:18:27 | 200 |   2.41ms |             ::1 | GET      "/health"
[GIN] 2026/06/17 - 12:18:30 | 200 |   4.37ms |             ::1 | GET      "/api/channels"
[GIN] 2026/06/17 - 12:18:30 | 200 |   4.53ms |             ::1 | GET      "/api/agents"
[GIN] 2026/06/17 - 12:18:30 | 200 |    5.2ms |             ::1 | GET      "/api/org/key"
[GIN] 2026/06/17 - 12:18:30 | 200 |   2.18ms |             ::1 | GET      "/api/channels/ba9463a8-2ed6-4b61-bb2e-bc0ab46fbbec/messages"
[GIN] 2026/06/17 - 12:18:36 | 204 |  21.75µs |             ::1 | OPTIONS  "/api/org/key"
[GIN] 2026/06/17 - 12:18:36 | 204 |  7.458µs |             ::1 | OPTIONS  "/api/channels"
[GIN] 2026/06/17 - 12:18:36 | 204 |   52.5µs |             ::1 | OPTIONS  "/api/agents"
[GIN] 2026/06/17 - 12:18:36 | 200 |   1.45ms |             ::1 | GET      "/api/org/key"
[GIN] 2026/06/17 - 12:18:36 | 200 |   1.07ms |             ::1 | GET      "/api/channels"
[GIN] 2026/06/17 - 12:18:36 | 200 |   1.11ms |             ::1 | GET      "/api/agents"
[GIN] 2026/06/17 - 12:18:36 | 204 |  6.792µs |             ::1 | OPTIONS  "/api/channels/ba9463a8-2ed6-4b61-bb2e-bc0ab46fbbec/messages"
[GIN] 2026/06/17 - 12:18:36 | 200 |   1.64ms |             ::1 | GET      "/api/channels/ba9463a8-2ed6-4b61-bb2e-bc0ab46fbbec/messages"
[GIN] 2026/06/17 - 12:18:38 | 204 |   8.75µs |             ::1 | OPTIONS  "/api/chat/stream"
[GIN] 2026/06/17 - 12:18:38 | 200 |   21.8ms |             ::1 | POST     "/api/chat/stream"
[GIN] 2026/06/17 - 12:18:41 | 200 | 852.167µs |             ::1 | GET      "/api/org/key"
[GIN] 2026/06/17 - 12:18:41 | 200 |   1.06ms |             ::1 | GET      "/api/channels"
[GIN] 2026/06/17 - 12:18:41 | 200 | 663.875µs |             ::1 | GET      "/api/agents"
[GIN] 2026/06/17 - 12:18:41 | 200 |   1.29ms |             ::1 | GET      "/api/org/key"
